Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
Q9P2H3,-0.08811577591210386,-0.053190076478232186,-0.0967991838529135,-0.009099047860565026,99.2,True
D6RF20,-0.08463412010813338,-0.05439376376217903,-0.08634725672258181,-0.015183430766137984,99.8,True
Q14161,-0.07876694509771073,-0.05137082987936747,-0.0965771032555573,0.0,95.39999999999999,False
A0A7P0T8X9,-0.07178924471125725,-0.04353867874206068,-0.06964810289638022,-0.013798579030399813,99.6,True
A0A1W2PR36,-0.06987610632309889,-0.04257900313116459,-0.0906588595844871,0.0,76.8,False
Q9HCM2,-0.06790554844600108,-0.04404669883233002,-0.0699249875094247,-0.007705692642610121,99.6,True
M0QX14,-0.06644795240190719,-0.04429160957978054,-0.08487538014550762,0.0,93.60000000000001,False
A0A087X0R0,-0.06611894046733613,-0.040027701195537085,-0.0692203455875081,-0.0015893785541230868,98.0,True
A6NMZ7,-0.06552964438448772,-0.04090518260255474,-0.08137216719014768,0.0,88.4,False
A8MY60,-0.06433343676143362,-0.042967681733603165,-0.06401970311878269,-0.013199906950520595,99.6,True
A0A7P0T963,0.06331745542520643,0.03963610081306284,0.0,0.07821780134563294,76.6,False
P08572,0.062290632718989415,0.03790780792868036,0.0,0.08677236340317096,68.4,False
A3KMH1,-0.06147637109685221,-0.04064027963510965,-0.06696716815448768,0.0,96.39999999999999,False
O60312,-0.06142572960592371,-0.03651697471412464,-0.06294125827780417,-0.0006042155177622251,97.6,True
O75197,-0.05855119834002093,-0.0375120880037539,-0.07110474256513237,0.0,96.6,False
D6RA66,-0.05847810769675727,-0.04052311820380114,-0.08433785332132314,0.0,93.8,False
C9JYU3,-0.05847662905719565,-0.036683054849613726,-0.07336869312110482,0.0,95.39999999999999,False
A0A5F9ZHX5,-0.05827809724098335,-0.034566838635963396,-0.07623699902509833,0.0,91.0,False
D6RIS7,-0.057788780210665434,-0.034838702752332404,-0.05860410198711655,-0.0016226994655291493,97.6,True
Q9H8N7,-0.05672667149182769,-0.038952755494108225,-0.06661947288222984,-0.008472610469634304,99.4,True
P35626,-0.056711090911523446,-0.03540585332566783,-0.05483413894761844,-0.008156076985237405,99.0,True
P06213,-0.05643512518918659,-0.03535786898468506,-0.06633686508699095,-0.00435893006991034,98.8,True
A0A075B7B8,-0.05487912185695919,-0.03516152676199692,-0.07587562910445204,0.0,91.60000000000001,False
A0A8I5KNL1,-0.0548170443344138,-0.03645416207992144,-0.06516537796213236,-0.002945921972951673,98.0,True
Q9NY27,-0.05353014396482695,-0.03306514202971064,-0.06514997531049216,0.0,96.8,False
