Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
Q6ICB4,-0.09692291192610937,-0.05928510670035165,-0.10948626033062756,0.0,93.4,False
Q13424,0.0853155896401485,0.05154380307564267,0.0,0.11191545979908324,89.8,False
Q13461,0.07369869754974422,0.045301668770241985,0.0,0.08448472554022148,97.2,False
O14757,-0.07180627165190712,-0.04373176954499448,-0.09732291858137268,0.0,87.0,False
P0C671,-0.0708690652594133,-0.04625262323293274,-0.09519693321354857,0.0,91.8,False
A0A1W2PR28,-0.06851378443526643,-0.04063978459538565,-0.0882978640147449,0.0,93.0,False
M0QZR4,0.06799841726503929,0.03678020499569287,0.0,0.08982749483150797,83.6,False
E9PG71,0.0675615007515908,0.042169450259069166,0.0,0.0757410657095346,97.2,False
O94973,0.06743685803521698,0.038979770923408756,0.0,0.08177397251817699,94.0,False
A0A0A0MS09,0.06673571626910055,0.037177123411192,0.0,0.10351882780006576,81.8,False
A0A499FJ85,-0.06659542647861046,-0.04036882240139739,-0.08415060845749474,0.0,93.4,False
K7EPM2,0.06602175734318216,0.03769556911288127,0.0,0.09635284539068033,79.80000000000001,False
H7C1M2,0.06570314477009184,0.03913982098548687,0.0,0.08950592701918304,89.2,False
A0A3B3IS05,0.06427595839679325,0.036651808052338024,0.0,0.06453004836441173,96.2,False
Q8IWG1,-0.0627503498045869,-0.0415745243003465,-0.08288036891682363,0.0,95.8,False
P20742,0.05963741409644603,0.03612961961089435,0.0,0.06744695258209926,92.2,False
J3KNE0,-0.05929581267099864,-0.033469270432663435,-0.0751192498735171,0.0,85.6,False
Q8N1F7,0.055656322593931634,0.03550250597395035,0.0,0.07923441562931467,85.0,False
A0A7I2V5R3,-0.054229831441730714,-0.0314286706083625,-0.06782335433507984,0.0,90.2,False
Q10570,0.05312280785076674,0.02862452207533175,0.0,0.056826099693019355,93.0,False
Q7Z4L5,-0.05144632687290144,-0.025135362008644666,-0.07350147719558298,0.0,76.6,False
P33241,-0.05012893686719304,-0.030712769816430344,-0.09314914525626423,0.0,78.4,False
O75051,-0.05003222057411227,-0.02568282248697268,-0.062252606610227496,0.0,87.0,False
A0A087WT21,0.04747840098968602,0.025958277106953375,0.0,0.07139092006634988,79.2,False
O75151,-0.04621969758349181,-0.028879851066616027,-0.0789191827140141,0.0,82.0,False
O15360,0.045978945295531,0.025961335630779743,0.0,0.06434133678588556,86.4,False
A0A669KBF1,-0.045967040265443786,-0.022615833545911953,-0.056882928097996555,0.0,79.2,False
O75140,0.0453011383188719,0.02526008645845939,0.0,0.07460279255506992,74.2,False
K7EJD1,-0.04481960904460236,-0.026932037240100848,-0.06991285610920152,0.0,73.4,False
F5GWQ8,-0.04414806413255594,-0.03167364424778464,-0.09659031628390165,0.0,69.0,False
P42336,-0.044000649075829554,-0.028569681630305654,-0.08274123502350685,0.0,70.0,False
O43747,0.04305978813632939,0.02470865334461646,0.0,0.0639743719254523,83.6,False
O95568,0.042157858644459305,0.02289097725802659,0.0,0.05022160244182579,87.0,False
Q08AF3,0.041999632025101326,0.020159063702236104,0.0,0.06439655080521534,70.6,False
A0A140T9M6,-0.041254200566386096,-0.02515715833254696,-0.05961878801099844,0.0,88.0,False
B4DJ23,0.0411525080151614,0.023574967330477332,0.0,0.062350372421678325,81.39999999999999,False
O43715,-0.03985459248581365,-0.021677791427903673,-0.07095165477639957,0.0,70.6,False
F8WF52,-0.03947578121126077,-0.023568340692776732,-0.07144290762751208,0.0,73.6,False
O94887,0.03910246446114554,0.02240886732688727,0.0,0.058294135310389066,78.8,False
Q68D06,-0.038550629189347464,-0.02344088836074032,-0.07051812734965515,0.0,75.2,False
F8VR31,0.0374496192302032,0.01897692455363384,0.0,0.05736706621263317,68.8,False
E7END6,0.03723406526885956,0.021429111394336432,0.0,0.08130595668387564,68.8,False
F5H515,0.036173378285219014,0.024440109568550725,0.0,0.05439032898482402,88.4,False
Q6VMQ6,0.034825552675241206,0.022511191431764388,0.0,0.052354958240077853,87.4,False
F5H252,-0.034528628424634694,-0.02001798130035489,-0.06919127533200482,0.0,62.8,False
Q66GS9,0.03385632395069613,0.02311759364413533,0.0,0.06350671188719782,80.80000000000001,False
C9IZQ3,-0.03383708835286712,-0.021687996322646768,-0.08849430211831995,0.0,62.8,False
P04433,0.033569272100098496,0.020320229993308195,0.0,0.07093113687039806,67.80000000000001,False
M0QXW4,0.03169104450716925,0.019084329023646773,0.0,0.06233694556268454,67.4,False
A0A0C4DH67,0.031032973080174595,0.017928396228433646,0.0,0.058633051854601416,66.8,False
A0A0U1RR22,0.03071778250921123,0.01798023137183261,0.0,0.06965066452994133,60.8,False
H7C3U4,0.03067764770551916,0.01554520218019183,0.0,0.05924181917887831,59.199999999999996,False
F5GXQ8,-0.03055459692858394,-0.014812363698408059,-0.04978772709654985,0.0,69.6,False
F8WE88,-0.029926881113634916,-0.015382295149637546,-0.06148890689062403,0.0,56.8,False
H0Y8T0,-0.029851894408747224,-0.015881664624374167,-0.05592138590906052,0.0,61.4,False
O75037,0.02977268747622311,0.014413593350362245,0.0,0.055596946790515744,57.199999999999996,False
Q8TCP9,0.029770794987507232,0.0183002793644667,0.0,0.0715106844036349,65.0,False
P03973,-0.029222587315432588,-0.0208266255977952,-0.07143432219071319,0.0,60.4,False
Q8IYS0,0.028881469584716008,0.017733588976590726,0.0,0.062328562555392666,68.60000000000001,False
O43293,0.02844051738620614,0.01421359001177251,0.0,0.053191413162192835,60.199999999999996,False
A0A2R8YFR4,0.02824770375043258,0.016304058947849483,0.0,0.06253137281023488,62.0,False
A0A7I2V4H6,0.027801996969168484,0.01703502920967952,0.0,0.05972522296236558,63.0,False
Q9P2D6,-0.027721315813515456,-0.013010759310192185,-0.040297619652047735,0.0,70.8,False
K7ENM7,0.02758964418270518,0.01719300526778457,0.0,0.07310535440524653,55.400000000000006,False
E7EVX8,0.027456204867596364,0.015424861751838896,0.0,0.060950901852535114,57.4,False
Q9Y5G8,-0.026709745492105957,-0.019002525612273606,-0.07189302817757726,0.0,62.2,False
Q9Y5G3,0.026469359778556415,0.016803228448532968,0.0,0.05810135198348831,71.0,False
Q13796,0.026080823508393337,0.016855000756740877,0.0,0.05016408531766216,78.60000000000001,False
E7ET07,0.025715853201131008,0.014461887511165146,0.0,0.04487083914598525,65.60000000000001,False
A0A8I5KSM3,0.025562861144205785,0.015630956335546526,0.0,0.045219070446544135,77.0,False
E5RFF3,0.02530350576838042,0.01687184723803991,0.0,0.07211712228966913,52.2,False
Q6ZRR7,0.025169688592412153,0.017457590686255194,0.0,0.059422985589476826,67.80000000000001,False
B0QZD0,0.0246432644994488,0.014457296138774268,0.0,0.0629473618805111,48.4,False
Q9Y2F9,0.02437989016623004,0.016062273597345533,0.0,0.0655666337717443,58.8,False
E9PFK9,-0.02354020763721695,-0.012818682360704655,-0.04350405464398034,0.0,67.60000000000001,False
Q8N3Y7,-0.023280297796263474,-0.010606645855396486,-0.04544859590402391,0.0,59.4,False
P54284,-0.022689374222862227,-0.014203446676351103,-0.05691464870001221,0.0,53.2,False
D6RAS9,0.022631459155604258,0.01734836231785725,0.0,0.06446706424441546,58.599999999999994,False
P01780,-0.022449388806987134,-0.012912264423812783,-0.048208248633855436,0.0,59.0,False
Q7Z478,-0.02201223994417016,-0.01326396472741854,-0.04917046435639171,0.0,64.0,False
I3L1D5,-0.021942725935199307,-0.00864776993253647,-0.05106949400786261,0.0,40.8,False
P57735,0.02192372173743347,0.011779175240570178,0.0,0.05050318414410617,52.400000000000006,False
J3KMZ8,0.021290757675481272,0.014891350320247684,0.0,0.05434830520408649,66.0,False
P49736,0.021011801109068334,0.011447273157239606,0.0,0.04531871072974667,58.4,False
Q13618,-0.02087089188552007,-0.013692803355412678,-0.06428811552222792,0.0,51.800000000000004,False
Q92624,0.020545679482162817,0.011943495023475146,0.0,0.046382436507650636,56.2,False
P08294,0.020514462145568662,0.010866771124488363,0.0,0.04397933693703341,59.599999999999994,False
O14983,0.020391194779241242,0.01271657724810187,0.0,0.057491740467849106,52.0,False
Q8IZX4,0.020281298006637777,0.014640280088714056,0.0,0.06051935038377458,55.60000000000001,False
O75362,-0.01983544491293118,-0.014384686005342125,-0.06233489598963757,0.0,51.800000000000004,False
A0A0J9YVU5,0.019698696360403962,0.012727441171254067,0.0,0.04947133218575584,60.4,False
