Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
A0A804HIM5,0.2596535719317981,0.0825812878505418,0.0,0.18998808575571388,93.0,False
Q5SYB0,-0.23234931712860343,-0.08797741309913502,-0.15271369208667354,-0.010912655241460498,99.2,True
P07357,-0.23069906913577035,-0.0801721522731613,-0.14538123248584456,-0.0019435078328262937,97.8,True
A0A7P0T8U3,-0.21718302527173622,-0.07142539175239379,-0.12206156998689513,-0.01621311559977219,99.2,True
H0Y300,-0.19919978332890337,-0.06967987917645005,-0.11641673304747967,-0.006018413500016673,98.2,True
A0A2R8Y5G6,0.18328499788727717,0.07005927557112605,0.0,0.14183436710847197,96.2,False
O75145,0.1804287922379221,0.07581776618542767,0.0,0.17461512613172847,95.39999999999999,False
O75534,-0.14486379513974346,-0.058847881341160875,-0.10455899464773576,-0.005711757458143181,98.8,True
Q8NDW4,-0.1350906896410627,-0.05708860995049979,-0.10077686376098131,-0.009569040401972954,98.6,True
A0A5F9ZH74,0.12735558278684256,0.06911350038862231,0.0,0.1662975058063546,92.80000000000001,False
A0A087WXL6,0.1088614215967694,0.0468475958987831,0.0,0.09720796176928422,90.0,False
Q9BVJ6,0.10737296484415215,0.04683896032724425,0.0,0.1041117750781322,94.0,False
P02748,-0.1068367555793444,-0.05108599480282905,-0.10395258665046701,0.0,95.19999999999999,False
A0A494C0H8,-0.10546317714911849,-0.04520296262316917,-0.09944569645406788,0.0,86.2,False
P54284,0.09299902395614427,0.04693982268344748,0.0,0.12120148619045346,83.39999999999999,False
Q02487,0.09238588712817977,0.05232869979500658,0.0,0.12419807067092174,89.0,False
O00410,-0.09152290025030506,-0.047455149851150166,-0.0973122440582253,0.0,96.2,False
A0A0G2JNB1,-0.09121480692926515,-0.05867793728223058,-0.11667193829832138,0.0,95.19999999999999,False
H0YDS0,-0.09107171787046309,-0.05773709180329653,-0.13901943547120288,0.0,90.0,False
C9JGB1,-0.08866371326875976,-0.03979435883308196,-0.06705457279682647,-0.0015387628286709688,97.6,True
C9JCA7,-0.08732481603345393,-0.0459695486994164,-0.08509296532099973,0.0,96.2,False
H0Y5H5,-0.08277424339837088,-0.0429436867848455,-0.11586550267963565,0.0,77.2,False
E9PDT6,0.0823910437752909,0.04253220363606118,0.0,0.09218831003907088,91.8,False
H0YIB4,0.07974320716326666,0.048219157988020345,0.0,0.10745873811591734,73.0,False
E9PS39,-0.07716807187793251,-0.040152348953686634,-0.07359220017856746,0.0,95.0,False
A0A0D9SFR6,0.07537297245302992,0.0371989428274538,0.0,0.09544157127582563,78.2,False
P01019,0.07498550129178995,0.03669909297042643,0.0,0.11017645226131026,75.4,False
Q9H4I2,-0.07349847263591201,-0.04327528590130541,-0.09333784503629391,0.0,93.60000000000001,False
A0A0C4DH32,0.07122858270378456,0.050696413496297194,0.0,0.10474207476185927,92.60000000000001,False
O43719,-0.06796184389316008,-0.04365500067182666,-0.09160183104251568,0.0,95.8,False
B1AHB1,0.06694687089993612,0.025270214228100923,0.0,0.10753087020842267,56.8,False
F8WF52,0.0667215685578033,0.03966167064570789,0.0,0.1164578675165369,63.6,False
O75582,0.06610143952823917,0.04186939854501706,0.0,0.08757398564152699,91.8,False
Q96T23,-0.06461852677604445,-0.044651636118753585,-0.07831504415843797,0.0,96.2,False
I3L4Y1,0.05947647785257784,0.04268843142224772,0.0,0.11073660236788598,80.0,False
A0A0J9YVU5,-0.058706474818373725,-0.04119217399050268,-0.09974736486702246,0.0,89.60000000000001,False
H0Y954,-0.057624485919980394,-0.026219897227782923,-0.10928870687880389,0.0,55.2,False
O15061,-0.05653194819583177,-0.039429097463696515,-0.09015194925385964,0.0,90.60000000000001,False
C9JAQ1,0.0553095337518092,0.026231773510700336,0.0,0.09973454869037661,56.599999999999994,False
Q14195,0.055089714713131795,0.02544964558656285,0.0,0.08095650981137635,69.8,False
B7ZM87,-0.05460323232144938,-0.03317391803557927,-0.07246792287867067,0.0,90.60000000000001,False
A0A7P0TAD2,0.053613887645136846,0.03425568624288016,0.0,0.07710445752404463,90.0,False
A0A087WT21,-0.053438505966003635,-0.03851506606818778,-0.08993310565141689,0.0,90.0,False
P31260,0.052497028927099045,0.038109464172217604,0.0,0.08535932496283354,67.60000000000001,False
C9JFR2,0.0523687287659285,0.0378491699014539,0.0,0.10719835412191808,78.60000000000001,False
A0A075B743,-0.051779718393985895,-0.03938547098532715,-0.09281419335017962,0.0,86.6,False
F5H855,0.051194640108699355,0.027750750217933353,0.0,0.09008233492606256,71.2,False
B4DZ84,-0.05039412451969004,-0.026437904942996745,-0.09452571695347847,0.0,63.6,False
A0A3B3ISD1,-0.04811458520138186,-0.0269603976271776,-0.09513222658069044,0.0,64.4,False
Q7L7X3,-0.04805962295519968,-0.01670344284927684,-0.07201291198520515,0.0,56.39999999999999,False
A0A2R8Y5E0,0.047629979407250764,0.021106654857629307,0.0,0.08449175528916213,58.599999999999994,False
E7ETN3,-0.0475872580989769,-0.038709064022751836,-0.09638908553989252,0.0,87.8,False
P08294,-0.046889017032805215,-0.022686559024569477,-0.06692628874653375,0.0,71.0,False
P09104,0.04618327034549092,0.022886068569827642,0.0,0.06661083024800751,78.60000000000001,False
C9J8E1,-0.04613806160418068,-0.03576527686458663,-0.07792932069082603,0.0,83.8,False
