Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
E9PJX9,0.07140645918835517,0.03579319573068733,0.0,0.08917009515699229,87.2,False
A0A804HJ86,0.06519551603129864,0.03163170314428137,0.0,0.07886486020773842,82.6,False
E9PAS2,-0.05522770584795152,-0.028545362095218137,-0.09071403272831105,0.0,71.6,False
A0A1W2PPM7,0.05271138932668845,0.02189870517341161,0.0,0.06426690994944693,73.2,False
C9JXK0,0.04794294125357644,0.023539463256912398,0.0,0.08382945039271181,62.6,False
Q9NY27,0.0469974508183061,0.017091357063265637,0.0,0.05077401178332104,75.4,False
C9JIF9,0.03428463203291851,0.012022842806568117,0.0,0.04963435962373902,55.60000000000001,False
A0A1B0GTU1,0.030514939117855668,0.018009647922469823,0.0,0.08068603852641806,53.6,False
P69905,0.02803196397856805,0.008830390094271392,0.0,0.03856630276168661,50.6,False
A0A6Q8PHG5,0.026971817493277265,0.008212326176921265,0.0,0.038627821919017154,45.800000000000004,False
P06727,-0.026216412322635295,-0.00882598361843465,-0.03977928965541869,0.0,48.8,False
A0A0D9SGE8,0.025053250549967387,0.012752325813644431,0.0,0.06425789962614968,47.8,False
F5GZH1,-0.024788711901942272,-0.010255657931161512,-0.05819120967181627,0.0,43.2,False
P37088,0.022849484388368563,0.0060153420897903435,0.0,0.030135384312521177,43.6,False
Q9H582,-0.02128515445619959,-0.0074567760581374515,-0.040927052869140924,0.0,41.6,False
C9JME2,0.02003487647114295,0.0053911974768670965,0.0,0.02915662173824492,37.6,False
G3V1N2,0.02000476386692357,0.0055703837546889085,0.0,0.03151159695581162,39.4,False
A0A5F9ZHN1,0.019608942961427143,0.009584838719178432,0.0,0.05214789734445481,44.0,False
Q86T82,0.016975864595653735,0.004260768508507531,0.0,0.02682659651200689,37.4,False
Q9NV88,-0.01664812989531427,-0.0074090116794610335,-0.041629474167097516,0.0,41.6,False
A0A0A0MQY2,-0.015724903912169824,-0.00561058102374411,-0.03831887327553614,0.0,31.8,False
A0A8I5KPH7,0.015443333208509328,0.0034100753036735367,0.0,0.021576902836328512,33.800000000000004,False
Q96EH8,0.0152439880510117,0.0078102925792353384,0.0,0.04935027716065246,35.4,False
Q6NSD3,0.014146737161717054,0.005672421332293484,0.0,0.0344350283951386,33.6,False
Q8NEP3,0.01300618497774322,0.005028917285437472,0.0,0.03177258178987572,35.199999999999996,False
F5H7J9,0.011645793399781609,0.004999695847805507,0.0,0.03437794210863983,31.8,False
A0A087X212,0.010728648408595647,0.004931805172605795,0.0,0.03295613992091836,31.2,False
A0A0U1RRH3,0.010564937483026594,0.001994041936713597,0.0,0.019458355480639462,23.200000000000003,False
Q6PKG0,-0.00988292224943709,-0.004640638235304851,-0.03281042105119678,0.0,29.799999999999997,False
Q15276,-0.009736378686006623,-0.0035218925040302633,-0.027613111879978364,0.0,25.6,False
Q99666,0.009574256384791792,0.004145612384658321,0.0,0.028295742033833848,31.4,False
P35968,0.009497496112594787,0.003685948958860821,0.0,0.027360872334334378,28.799999999999997,False
E5RHP7,0.009276127226656895,0.006330234622795962,0.0,0.04291693880763534,30.599999999999998,False
A0A7P0TB69,-0.009197145400609312,-0.002995740498876076,-0.025265655928873545,0.0,26.0,False
Q9UKC9,0.008617920464580705,0.0033975497379701864,0.0,0.02388505315263988,27.6,False
A0A0G2JLI4,0.008208869587930118,0.0017753091370094438,0.0,0.016484945675620685,21.4,False
M0R0D9,-0.008106890214151445,-0.003174845869398256,-0.02319434554131089,0.0,30.2,False
Q7Z6L1,0.00791571084184671,0.0032908583472712827,0.0,0.025562913071282098,26.400000000000002,False
Q14161,0.00762990538535195,0.011186618846176624,0.0,0.06439789594477763,36.6,False
Q5JSZ5,-0.007439806418139644,-0.0015232613397131085,-0.014903486768070203,0.0,17.8,False
E9PF10,0.007030335296905259,0.0031796468787389856,0.0,0.02471533522350726,26.6,False
A0A7I2V3N5,0.006296049269477422,0.004458442495197019,0.0,0.03541747935792623,28.4,False
F5H481,0.005643263708801615,0.004937370393640059,0.0,0.031585418902589486,30.0,False
A0A0A0MT39,0.0056374555390388496,0.003532930513796656,0.0,0.030109814320663817,23.799999999999997,False
A0A6I8PL17,0.0050186815781503346,0.003928423052810452,0.0,0.03016556693151,27.200000000000003,False
Q9H8N7,0.004583605017137044,0.004184961433723543,0.0,0.03289540281342456,25.6,False
Q14699,0.004505477758849474,0.003095762815194437,0.0,0.03011780806984589,24.2,False
P04217,-0.0043585701249139845,-0.0026654773604549947,-0.023811739740842035,0.0,24.0,False
A0A0J9YX86,0.004157737442560373,0.001596363744625992,0.0,0.01661266896757316,17.599999999999998,False
Q8WXU2,0.003793444316907059,0.0029541621946261136,0.0,0.024909636807249575,23.400000000000002,False
A0A087WZ85,0.003683362018260197,0.003045288959704611,0.0,0.026829363941611964,24.4,False
Q5RHP9,0.003647666934992354,0.0028219013024946508,0.0,0.024738295312923854,22.400000000000002,False
A0A087WT09,0.0030956459006024886,0.0048343440872275914,0.0,0.038521376121234865,28.199999999999996,False
A0A087X2I1,0.0029724624132524053,0.003614416780168258,0.0,0.031658748955189504,22.400000000000002,False
Q9NWH9,0.0029202482078843316,0.0016453729194330434,0.0,0.016422057397278245,19.0,False
P10153,-0.0028716903534084376,-0.0024736251701317977,-0.024277206913236735,0.0,20.200000000000003,False
J3KSN3,0.0026035036060959643,0.0035201945045400837,0.0,0.029765777813609236,23.799999999999997,False
P46940,0.002395847640692571,0.00197872599189367,0.0,0.01892091207566703,20.599999999999998,False
A0A6Q8PF74,0.0023694892370291214,0.002224151051930379,0.0,0.021009346391612737,20.4,False
A0A590UK43,0.002118074194322332,0.005907031443732982,0.0,0.04436309306710086,28.799999999999997,False
Q9UJG1,0.001660194781347485,0.0031803141072898073,0.0,0.028897564071121762,20.599999999999998,False
A0A2R8Y7C0,0.0013859927088062122,0.004842170947319034,0.0,0.0368283162482725,29.799999999999997,False
J3KQG3,0.0013067294348914587,0.006557581989758813,0.0,0.04682484487217469,29.4,False
J3KRZ9,-0.0009146496787845945,-0.002478434093785113,-0.026017415312287972,0.0,19.2,False
A0A7P0T8F3,0.0008357833560425517,0.0010201377277214833,0.0,0.012878446587135182,13.8,False
P0DTE7,0.0006542943662823135,0.004118434658019562,0.0,0.03453489168486713,25.8,False
Q13045,0.0003803705665711108,0.007438977258461973,0.0,0.05680006560820706,28.999999999999996,False
P17948,-6.824577147413392e-06,-0.0034677015314604986,-0.03499502758773628,0.0,22.2,False
