Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
H0YBT0,0.1225749003383216,0.0633220855465217,0.0,0.14724746845669076,90.8,False
Q9H8V3,-0.09193582966942339,-0.04606471731652062,-0.10963073410058403,0.0,86.8,False
J3KRR8,0.085681540811427,0.04467867515159124,0.0,0.11399696731543604,81.8,False
O43861,-0.08229929172039341,-0.045636183238405285,-0.10355214115128966,0.0,88.6,False
Q9C0H6,0.07768328741168422,0.03228705478443577,0.0,0.11459937923328692,68.60000000000001,False
C9J2W6,-0.06968066642189728,-0.03407719524277605,-0.11243582571305065,0.0,64.0,False
H7C472,-0.06499559572606829,-0.028012951850709487,-0.09148711455822951,0.0,67.2,False
A0A0C4DH43,-0.06477677971993603,-0.0358746143364987,-0.11049805000261195,0.0,64.8,False
Q14161,-0.06361671332701786,-0.029067214737431346,-0.1075312769926343,0.0,63.6,False
A8MUP8,-0.0629742766654496,-0.030831229706152284,-0.10618094203377024,0.0,66.8,False
Q96RG2,0.06288643300088503,0.029977822319925115,0.0,0.11563599114321976,53.0,False
Q2TAL5,-0.06213720425795641,-0.032695638614459434,-0.09382004409311377,0.0,76.2,False
Q53S48,-0.0616236628856427,-0.03472328110913621,-0.09877011798045103,0.0,82.19999999999999,False
Q5T8H6,-0.0605040747926767,-0.026741269511593176,-0.10817954590426643,0.0,62.4,False
E9PEB5,0.059274278802165216,0.03259001508434105,0.0,0.09433341551943035,77.8,False
P52701,-0.05858453611033538,-0.02755039131197944,-0.07059554706202634,0.0,79.2,False
Q12979,-0.05836945419464668,-0.026184223183237248,-0.07994190440890002,0.0,72.39999999999999,False
K7ELW0,-0.05807800161727552,-0.030368978476897738,-0.09810604073994443,0.0,69.39999999999999,False
M0R1Q1,-0.05777576594950968,-0.023890555539734574,-0.09873011887045244,0.0,57.99999999999999,False
H3BPW2,-0.05758369048492397,-0.02630192785998231,-0.07859825454941934,0.0,71.39999999999999,False
P26992,-0.05565430487498818,-0.027863875343369676,-0.09299904803095695,0.0,66.2,False
Q9NRX4,-0.05520327714838257,-0.02522552429503527,-0.07056521163504496,0.0,78.4,False
E7EQY3,0.053308177096825615,0.03362338552739242,0.0,0.10040794682188121,75.0,False
A8MY60,-0.052331573404632466,-0.025020622889022764,-0.08960275860381535,0.0,67.60000000000001,False
J3QS41,0.05082639042029851,0.02387466163932341,0.0,0.07340149474872289,62.8,False
I3L3Z3,-0.049922293656137866,-0.02476613374441015,-0.07900317897870796,0.0,67.60000000000001,False
P0DTE1,0.04971096560482405,0.0235698853616044,0.0,0.07575085207848758,71.0,False
O43707,-0.04872335324343695,-0.023140280168556873,-0.08465894451928521,0.0,59.199999999999996,False
A0A8I5KWX0,-0.047769085838611614,-0.018625026161592402,-0.07434344979595399,0.0,58.4,False
Q9NZT1,-0.04620164190045886,-0.024975412515563407,-0.08451238134376132,0.0,66.4,False
H0YMW5,-0.043918325010480576,-0.018181393461581003,-0.07734721929844617,0.0,52.400000000000006,False
O95568,0.043298971391241114,0.02032641296016054,0.0,0.08172266301561076,56.8,False
P35609,-0.04295190576335318,-0.02022521083575517,-0.0801743693941874,0.0,61.8,False
F5GWN5,-0.042649532393320214,-0.02065895655902841,-0.06295193042956389,0.0,62.6,False
Q9UFN7,-0.042488555417735004,-0.019152853844156475,-0.06822598832200405,0.0,62.0,False
Q9Y2V7,0.042004308730397254,0.017040324555357898,0.0,0.07309096432489195,54.400000000000006,False
E9PN75,0.041891254700570354,0.022275140818599153,0.0,0.0845043038348961,58.4,False
A0A0A6YYG7,-0.04147064783776986,-0.018654850375499635,-0.06321876126891277,0.0,62.8,False
Q99459,0.040824465898099196,0.01689904372629367,0.0,0.059546044241586625,55.2,False
B7WNR0,0.040448012590211385,0.016284165077813988,0.0,0.06532640326760766,52.0,False
J3QLR4,0.0399814225981579,0.014713931967658503,0.0,0.07388047187756171,47.599999999999994,False
Q86W28,-0.039717076946060095,-0.01803135258394164,-0.06749424628858923,0.0,61.6,False
Q8N5C7,-0.0396761803428045,-0.02151423727969391,-0.06984356051385916,0.0,64.60000000000001,False
F5GZI2,-0.0393009649173611,-0.02077043790993123,-0.07053278437122068,0.0,70.8,False
C9JU00,-0.039260804637819266,-0.017735560855446243,-0.06350870570773974,0.0,58.599999999999994,False
H0Y7F7,-0.03842365180143025,-0.015654426960253476,-0.08511806428535514,0.0,42.0,False
Q9BUK6,-0.03840740655687934,-0.01966773071922932,-0.0884921260131008,0.0,51.0,False
C9J461,0.03840359049762443,0.029455262412587977,0.0,0.09908504730177031,59.0,False
Q8N5C6,-0.038139086387922704,-0.016557013943708614,-0.048765698747052395,0.0,69.6,False
E5RHP7,-0.038034486197034874,-0.0176591851998998,-0.07494745661132023,0.0,56.39999999999999,False
Q8NGE0,-0.03791058373147584,-0.017688568185114866,-0.05319682655848072,0.0,70.0,False
Q15283,-0.037754043043113306,-0.018534728995181823,-0.08800809253825773,0.0,53.800000000000004,False
F5GWB9,-0.03701734977589983,-0.018789774944378605,-0.06240506638411784,0.0,62.0,False
Q96L93,-0.03637720381717022,-0.018962908529973888,-0.07603705847828426,0.0,58.4,False
A8MTL3,-0.03615851152274015,-0.02035075850727461,-0.06965062476677142,0.0,62.6,False
D6RIY3,-0.03612509712204474,-0.016155002755983697,-0.07144135080983707,0.0,56.599999999999994,False
Q9BXF3,0.03600539031084138,0.016226404058429997,0.0,0.056158463236377354,55.800000000000004,False
G3V1Q5,-0.03576386163806352,-0.02089653414100834,-0.07438529214770521,0.0,54.6,False
K7EQ26,0.03525820309394313,0.017283448871030088,0.0,0.048800794133464456,64.4,False
E5RII6,0.03469371878127573,0.022589946134587372,0.0,0.07213969884281654,67.80000000000001,False
A0A8I5KVU2,-0.0343893235666202,-0.013820555386848852,-0.04580083232579194,0.0,54.6,False
Q8IY37,-0.03426755781208586,-0.013465824531224345,-0.04673297882148715,0.0,53.6,False
Q9UMQ6,-0.034054705114357285,-0.015455051731377413,-0.06171974012887639,0.0,55.60000000000001,False
O75197,-0.0336414674707362,-0.01776010730892066,-0.06536019077629371,0.0,60.6,False
A0A8I5KWA2,-0.03339315085125037,-0.014616319542421588,-0.05571680376567001,0.0,55.00000000000001,False
C9JWG6,-0.032936896561267956,-0.015669896217212355,-0.07489891434256186,0.0,48.0,False
Q14146,0.03225475153494536,0.01635133977071374,0.0,0.04864498918189032,66.2,False
A0A1B0GV47,-0.03212469067069564,-0.01379535003307878,-0.05742131281213988,0.0,53.2,False
G3V5Z3,-0.03204656625607318,-0.024343771534575998,-0.09247980367835837,0.0,60.0,False
A0A2R8YDG0,-0.0318664850888883,-0.01432310386763231,-0.05709923382573561,0.0,54.400000000000006,False
U3KQB2,-0.03173844719805367,-0.016314183153270694,-0.07809742688804329,0.0,50.6,False
A0A6Q8PHD4,0.031568024708514476,0.0203832296282536,0.0,0.07701926162009708,61.6,False
