Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
A0A087X2I1,-0.04835507317445235,-0.02617730170045678,-0.06338118195628821,0.0,87.8,False
Q8TDI0,0.036979167976825406,0.018307943645304074,0.0,0.04624184450426157,83.2,False
Q9NY27,-0.035956676420411504,-0.018100410886500284,-0.04767331850183872,0.0,81.8,False
P35626,-0.032596021290370876,-0.01557442417741853,-0.038688879398627585,0.0,81.39999999999999,False
A0A7I2V5A1,-0.03189342281434819,-0.016324204922730616,-0.04404527331815769,0.0,82.6,False
D6RIY9,-0.03064856225138823,-0.015746499781088587,-0.047656738315377714,0.0,74.0,False
Q16832,-0.028621515726172858,-0.014089096352118496,-0.03796134014610685,0.0,77.60000000000001,False
Q5VY30,-0.028325707243398477,-0.012538765825060366,-0.02936359308704765,0.0,85.8,False
S4R414,-0.028133746991378626,-0.015161684331423748,-0.054495894990913896,0.0,64.8,False
Q8N807,-0.02789845371893945,-0.014063913782950467,-0.06032119100778631,0.0,58.599999999999994,False
A0A1B0GVY2,-0.02740764327325538,-0.012295712485144756,-0.04582244429708432,0.0,59.4,False
Q14161,-0.026927722199222563,-0.014144256471307137,-0.043912158672586826,0.0,72.39999999999999,False
A0A8I5KNL1,-0.02692131287083827,-0.011366779033741763,-0.036188856090058494,0.0,67.80000000000001,False
Q9H977,-0.02642717152759671,-0.014181397967311575,-0.05695506532230306,0.0,58.599999999999994,False
D6RF20,-0.025476302205790075,-0.01083600034007464,-0.042959203502234686,0.0,56.8,False
F8W7M8,-0.024528563354117516,-0.010350413062549994,-0.0299472822714563,0.0,71.0,False
A0A7P0TBH1,-0.024031436301670008,-0.011761668750793432,-0.040529517439516154,0.0,67.80000000000001,False
E9PQG0,0.023470990200286423,0.010878349911753606,0.0,0.03920307420885596,58.4,False
A0A2R8Y4T1,-0.0233606943534023,-0.010405414584380374,-0.04912894082107799,0.0,51.6,False
M0R220,-0.0226265626100642,-0.00986124959457311,-0.03225862217487711,0.0,66.2,False
O43707,-0.02178732831238339,-0.008385447425175817,-0.029219969664781357,0.0,67.60000000000001,False
A0A590UKC0,-0.021475851762512578,-0.00865202918426132,-0.03187638176134498,0.0,63.800000000000004,False
P00450,-0.020314728715152528,-0.009692118013475892,-0.03369170661149012,0.0,62.6,False
E9PFZ2,-0.020314728715145846,-0.009692118013472851,-0.033691706611493004,0.0,62.6,False
Q13029,-0.018471445465098244,-0.007655932181854108,-0.02830926543918113,0.0,60.4,False
G3V164,-0.016189988482858648,-0.007500343080871192,-0.02978937610581917,0.0,56.8,False
P07360,-0.015426517380380391,-0.006686238948037223,-0.030245254843158306,0.0,47.199999999999996,False
A0A804HJV4,-0.01527675453795663,-0.006230388992726767,-0.027243378187348614,0.0,52.0,False
E9PGN7,-0.015009390500706755,-0.006922820638490167,-0.03316701329828476,0.0,46.2,False
Q8WXU2,-0.014919833249062445,-0.007883294653651774,-0.03216016519699876,0.0,55.00000000000001,False
A0A8C8PVR7,-0.014649804331897798,-0.005584686625247764,-0.02522808667454584,0.0,49.0,False
K7ERJ7,-0.01416579206300036,-0.006630305371911724,-0.029616639970166923,0.0,50.2,False
A0A0A0MRJ0,-0.013900181926221767,-0.0064575251395554666,-0.029055620911198184,0.0,50.4,False
P19823,-0.013811189637370228,-0.00739361690705288,-0.03505913880942385,0.0,48.6,False
Q5T985,-0.013811189637366543,-0.0073936169070511395,-0.03505913880942118,0.0,48.6,False
Q9P2K3,-0.013774973486606314,-0.0046336133773844865,-0.020077985327661575,0.0,51.4,False
Q96FC9,-0.013505019957700853,-0.006981021567192766,-0.03528878522534974,0.0,48.199999999999996,False
A0A804HKM8,-0.013503746455433865,-0.004945370912607536,-0.022187068829125137,0.0,48.6,False
C9JME2,-0.013058503214357586,-0.005610937447542402,-0.02370156429626689,0.0,49.6,False
Q86T82,-0.01302136088651093,-0.007781521295959389,-0.03541102143763177,0.0,51.800000000000004,False
Q9UBC2,-0.01286644170118216,-0.0042657407362268794,-0.020492560516121673,0.0,42.8,False
A6NC62,-0.012249303071481352,-0.007902010457315483,-0.04369687066251849,0.0,42.0,False
A0A087WZ26,-0.011924164474174995,-0.006670693944750414,-0.03339431917402166,0.0,44.0,False
C9JCM2,-0.011792183014405594,-0.005514187407006837,-0.026574700151957627,0.0,47.199999999999996,False
A0A1W2PRD1,-0.011763797560083491,-0.005478808448435475,-0.026966341087427095,0.0,46.400000000000006,False
A0A0C4DG63,-0.011100445322489124,-0.005243160735879439,-0.027599047264882794,0.0,43.6,False
Q01826,-0.011070215277543542,-0.003649633197208599,-0.018288151078723173,0.0,44.0,False
A0A7P0Z482,-0.01067181944434698,-0.004230478372602925,-0.030586729567231866,0.0,32.2,False
Q8IZX4,-0.010609807794203688,-0.0055198624305822334,-0.030682176553776336,0.0,38.0,False
A0A1B0GTX1,-0.01022163820963964,-0.004301894542684216,-0.024654901976201182,0.0,42.4,False
Q9Y2I7,-0.009373371969466167,-0.004736443592735066,-0.027968391274897923,0.0,39.2,False
A0A1B0GV02,-0.009324044566720018,-0.004022002106136436,-0.02220573744191985,0.0,41.0,False
H3BLT0,-0.009275474080973033,-0.0031693912052656687,-0.01802258454655705,0.0,39.6,False
P49736,-0.008638029019730637,-0.005250075777028139,-0.031576410135655236,0.0,39.6,False
A0A1W2PRC7,-0.008477576891333367,-0.0037101476209623558,-0.023919035587184653,0.0,35.4,False
A0A0A0MT39,-0.008414443936651994,-0.005863909412916229,-0.03146144367652045,0.0,40.0,False
Q9HCM2,-0.00804013953167233,-0.006573551140873754,-0.03454763533184007,0.0,42.4,False
J3KNL2,-0.007984071730793222,-0.004737607595757061,-0.028422497151641177,0.0,35.8,False
A0A075B7B8,-0.007841158773269304,-0.007261825223996213,-0.03565774760635277,0.0,45.800000000000004,False
A0A7I2V561,-0.007770380462080015,-0.004661452776192986,-0.027067583661162273,0.0,38.6,False
A0A669KBG8,0.006927562090381737,0.004128945279084638,0.0,0.02529532309402245,38.0,False
Q86W56,-0.006753311573949735,-0.003754933208087564,-0.02356712536869481,0.0,38.4,False
P08185,-0.006692928959755815,-0.004872199497447119,-0.03139078871552799,0.0,35.4,False
Q08AE8,-0.006671832232728485,-0.00592881640768734,-0.04357223392665677,0.0,34.4,False
A0A2R8Y840,-0.0066267370290604135,-0.0069043089601076935,-0.04143206329165637,0.0,39.6,False
O60765,0.006274022806320917,0.005551215157549922,0.0,0.029650477890774504,38.4,False
A0A804HI22,-0.006176750325051091,-0.004418972232735575,-0.028913835412798062,0.0,28.599999999999998,False
E9PQT7,-0.006106378536960896,-0.004770805276488923,-0.031140652016143806,0.0,35.8,False
A0A804HK58,-0.006050741919422748,-0.00471161072989673,-0.0279102291355208,0.0,38.2,False
Q9UP83,-0.0060217027242841685,-0.0030082711693989544,-0.01973718597877709,0.0,31.2,False
Q04771,0.0059496038759878685,0.003445340311682696,0.0,0.020764800578385208,35.4,False
P51854,-0.005919014069166588,-0.005894265110304921,-0.03246105537155525,0.0,39.6,False
A0A804HIY8,-0.005859266764804722,-0.005231583040393942,-0.030663474983530344,0.0,34.599999999999994,False
Q9H9E3,-0.005805787393777501,-0.004345305361099174,-0.03145560245115984,0.0,31.4,False
A0A0U1RR22,-0.005549981619442513,-0.00478551185217877,-0.030962798000583585,0.0,34.0,False
A6NKT7,-0.005439285443508883,-0.00486439975671003,-0.027854873894959147,0.0,35.199999999999996,False
Q6W2J9,-0.005231246340614045,-0.005990402144443408,-0.0355891112227831,0.0,37.2,False
A0A8I5KWA2,-0.005229113743411547,-0.0033824978121102275,-0.025854910227666183,0.0,28.599999999999998,False
X6R8W7,-0.005033159553054648,-0.0048252749241882355,-0.030435420135185867,0.0,36.199999999999996,False
A0A0C4DH42,-0.005003578359980657,-0.004327328505733023,-0.024014822231951338,0.0,40.6,False
P07900,-0.0048749217242240244,-0.0033218649962770126,-0.019205790636577968,0.0,36.4,False
C9J8E1,-0.004737569809892563,-0.0048785327057075225,-0.027870050712707938,0.0,37.6,False
Q12851,-0.004681931272342851,-0.00439613229087782,-0.03062980174638301,0.0,34.4,False
A0A075B6K0,-0.004608861985431991,-0.0029610209199632145,-0.022346189859815967,0.0,30.4,False
A0A0J9YX66,-0.004577613829958023,-0.003223932798347145,-0.022576185505497608,0.0,32.4,False
O75051,-0.004395258121798286,-0.0030412711231587054,-0.022082460227798924,0.0,31.2,False
G5E9C5,-0.00436303878296794,-0.004177713027736322,-0.025272160072749662,0.0,36.199999999999996,False
P07358,-0.004200074659893615,-0.0036675181478806372,-0.027079043106291428,0.0,31.2,False
A0A7P0T9B9,-0.00411731021987902,-0.003619658691234084,-0.02396424232537577,0.0,32.800000000000004,False
H7C0N0,-0.004022190527623205,-0.0034757484255115473,-0.02540834487093358,0.0,30.599999999999998,False
P01023,0.00400797224682748,0.006044534430546036,0.0,0.037836087231327434,38.0,False
O94886,-0.003997888291730759,-0.004014255093271688,-0.030992156910862965,0.0,28.999999999999996,False
M0QX43,-0.00394486729816569,-0.005972967456355623,-0.04180588539452842,0.0,34.4,False
A0A1B0GW24,-0.0038904671080058277,-0.004268911853900708,-0.02506238313494607,0.0,35.199999999999996,False
Q5TG30,0.003850234085031956,0.0040154348279250116,0.0,0.026593659830602294,32.0,False
A0A7I2V4H6,-0.0034457068912680335,-0.002672484906573504,-0.020980024147194843,0.0,28.999999999999996,False
Q96EH8,-0.0034000724489726152,-0.005311118988355554,-0.03014235295569729,0.0,39.800000000000004,False
Q15276,0.003358869728004255,0.0039404981461985174,0.0,0.028955069585361953,32.800000000000004,False
F2Z3A3,-0.003266666048685722,-0.004024144292354764,-0.025694706698080647,0.0,34.599999999999994,False
O94874,0.0030332612670739964,0.0029011249086601447,0.0,0.02068376998957677,29.4,False
A0A7I2V377,-0.0030003304746226023,-0.0034975192910581075,-0.023537932462350395,0.0,28.4,False
Q02880,-0.002838490695783515,-0.003142492073696471,-0.023318827632433536,0.0,29.599999999999998,False
A0A0J9YX86,-0.002652931136732756,-0.0021641013793249416,-0.01790297184085949,0.0,28.000000000000004,False
Q9C0H6,-0.0025314314183473015,-0.003790249678329741,-0.027369887507917173,0.0,34.599999999999994,False
Q9NP61,0.002505721903800411,0.006867481258632907,0.0,0.04224096180532235,37.0,False
D6RIS7,-0.0023946993132923197,-0.00438214310374038,-0.030517167073286194,0.0,33.800000000000004,False
A0A087WTW8,-0.0021579769394120133,-0.003908880464597761,-0.02765573607589856,0.0,28.999999999999996,False
