Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
A0A8I5KX78,-0.41273394407622155,-0.08058889432677951,-0.5889944114025806,0.0,28.000000000000004,False
A0A804HKE7,-0.24967658414658975,-0.07411849813064099,-0.5942271876400711,0.0,24.0,False
E5RJR3,0.20101642093788996,0.03386119833596106,0.0,0.35325608723501073,17.4,False
Q86X53,0.07682472988806972,0.02039777541360408,0.0,0.27382779331612656,11.600000000000001,False
M0R165,-0.03531059848369044,-0.020961838589348573,-0.299735922130383,0.0,10.6,False
P53675,0.030597081673956826,0.019981401067504737,0.0,0.2656470300097034,10.2,False
P03973,0.029448405620046674,0.0308293008057538,0.0,0.38790488065643675,11.4,False
Q92624,0.021759956596053526,0.014354662979388092,0.0,0.2530247518069835,6.800000000000001,False
