Protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
A0A1W2PRC7,1597.5816479419232,1298.487141990577,3.7566491710749834,0.002478487437807131,0.6190037569142104,-4.59511748556662
A0A0C3SFZ7,-682.8904678903848,-226.0774638613461,-3.4291308650634442,0.004607103966112592,0.6190037569142104,-4.595117723578123
Q96A65,277.9886887735383,-467.62169032099996,3.4262485329174233,0.004632425454051295,0.6190037569142104,-4.5951177257701845
Q03112,-795.5982318265385,20.010091139807724,-3.3697053320612342,0.005158622053044776,0.6190037569142104,-4.595117769114317
Q6XZF7,-8942.315783230768,14229.766918492307,-3.3691791148684236,0.005163792614175961,0.6190037569142104,-4.59511776952075
F8WCZ6,-334.11596193115395,-288.1925565571153,-3.1299219622982104,0.008148472953395595,0.6190037569142104,-4.595117960065058
A0A075B6Z2,3571.637577307698,20361.371229492306,3.1093387374227044,0.008474851029586929,0.6190037569142104,-4.595117976984456
A0A804HIJ8,3771.5807688846126,11551.07911281923,3.081647995116587,0.008934628093166143,0.6190037569142104,-4.595117999874703
Q6NSJ2,694.3747327653857,918.9284868980769,2.937750957835242,0.011755379180149555,0.6190037569142104,-4.595118121144578
Q99571,-466.45159238376937,-254.0050594242692,-2.8962061897437956,0.012723224295511442,0.6190037569142104,-4.595118156858531
E9PS39,329.5085227230769,327.4813745961539,2.863835506064243,0.013531636741879403,0.6190037569142104,-4.595118184896064
B5MC47,424.7876506831959,-485.0971994649056,2.8289348206244904,0.01446011224956145,0.6190037569142104,-4.595118215326641
P01762,-397.61155861192316,-19.194656705576893,-2.715388742889272,0.01793634352740302,0.6190037569142104,-4.595118315718689
O42043,2089.267542065385,4515.731285805769,2.713468662894876,0.018001674028119828,0.6190037569142104,-4.595118317433897
A0A1W2PPI5,-3943.084378538466,13058.472925146154,-2.7073947848821,0.01820987540623251,0.6190037569142104,-4.595118322863414
O43166,-3641.598124230769,8496.127939184615,-2.6775112744783094,0.019269037207242653,0.6190037569142104,-4.595118349657856
P02100,-5928.709628692307,6079.209805684615,-2.668920828131226,0.019584497236095576,0.6190037569142104,-4.595118357384916
Q02487,-111.48405033934819,-958.2693259798928,-2.608229521715268,0.02196132427663364,0.6190037569142104,-4.595118412278781
A1IGU5,353.31742261369254,-658.6384053431539,2.598015496381294,0.022388037670343135,0.6190037569142104,-4.595118421567656
Q58HT5,3082.722428269233,9821.261804434615,2.585941626998148,0.022902853298232016,0.6190037569142104,-4.595118432566067
P21860,-3446.2754566923104,4967.127746876923,-2.584458988515305,0.022966858881646013,0.6190037569142104,-4.595118433917984
A0A2R8Y7X9,-2809.260160200001,2863.5793681615387,-2.5658334468285147,0.023785872281794112,0.6190037569142104,-4.595118450925992
A0A2R8Y7R2,-2698.0785981000017,2624.204959980769,-2.5101208009177705,0.026408303643017553,0.6190037569142104,-4.595118502063342
Q3MII6,-596.2973377726923,286.89814960826925,-2.4901714669865274,0.027413665478019753,0.6190037569142104,-4.595118520465773
P68871,-768.8901699192311,-67.15926704038459,-2.489836319212345,0.027430867139608104,0.6190037569142104,-4.595118520775328
Q86TE4,-7612.889320080768,6722.701907090384,-2.478928377129524,0.027996443894536004,0.6190037569142104,-4.595118530857295
A0A3B3IS09,189.83426634230779,-517.3658134211538,2.4693833153197025,0.028500566623861343,0.6190037569142104,-4.595118539690578
Q96N64,-1309.2466407000006,1324.3035183346153,-2.462459564344938,0.028871706950501196,0.6190037569142104,-4.595118546104337
Q5VTM2,-434.12608397307696,282.05508072115384,-2.460603572872373,0.02897198392857487,0.6190037569142104,-4.5951185478245105
Q9Y5G6,719.6165866884619,808.3769396326924,2.4509554262632673,0.02949868751877247,0.6190037569142104,-4.595118556772634
A0A8I5KX04,-665.7959701923075,1177.928950046154,-2.4488646331221484,0.029614035182891883,0.6190037569142104,-4.595118558713045
A0A7P0T7Z8,476.62570907692384,1520.7691188769231,2.4393800395120544,0.03014276461663654,0.6190037569142104,-4.595118567521253
A0A7I2V2L4,-602.9807517896154,-137.17612697442303,-2.4174649390071368,0.03139937307232223,0.6190037569142104,-4.595118587909046
F8VSL3,-1171.7563149423063,2372.0874944865386,-2.407405761701902,0.031992863507556604,0.6190037569142104,-4.595118597283303
A0A669KBG8,-11142.065964723073,15668.322746880769,-2.399209252922681,0.032484396810192884,0.6190037569142104,-4.595118604928999
A0A087WSY5,-3111.4769850384623,4978.364657934615,-2.396254533822129,0.03266335584099604,0.6190037569142104,-4.595118607686731
F8W6P5,-10293.659862192311,21437.860970973077,-2.385405332901466,0.03332859662040733,0.6190037569142104,-4.59511861781968
C9J795,-2412.3373617346133,4490.694128382693,-2.376640426242447,0.03387548787686902,0.6190037569142104,-4.595118626013863
A0A7I2V2I0,344.32141495730787,-568.6086765155769,2.3756181928519613,0.033939826981600474,0.6190037569142104,-4.595118626969988
A0A6Q8PG29,-691.9169576519225,1374.9873499528846,-2.3558345173465334,0.03520826007698385,0.6190037569142104,-4.595118645492413
Q9P000,-455.7160116615383,329.87625841538465,-2.353726348779924,0.035346065086151804,0.6190037569142104,-4.595118647468177
G3V2R1,-237.9173792703076,-453.9527717528461,-2.3428477333781412,0.03606539189584506,0.6190037569142104,-4.595118657669479
Q6MZT1,-134.13268283430773,-822.5774267768462,-2.3296433834841213,0.036957271489271214,0.6190037569142104,-4.595118670064704
P16144,-272.91580346461546,-261.6453539803846,-2.325669767342727,0.03722975594438619,0.6190037569142104,-4.595118673797541
K7EMK7,-3166.8739701423083,4071.045205271154,-2.3223679214249557,0.03745762955735046,0.6190037569142104,-4.595118676900244
E7END6,-87.00822301653864,-769.0779574490384,-2.3190579214712583,0.03768739866509367,0.6190037569142104,-4.595118680011449
P26358,-1193.1144487692309,2995.894164376923,-2.3156172691544135,0.03792765919338641,0.6190037569142104,-4.595118683246344
K7ES05,3407.920944615382,16600.401187376923,2.311476434231111,0.03821874647220675,0.6190037569142104,-4.595118687140726
P17342,-447.66866764115383,-153.09159206596152,-2.310662964789724,0.03827617999333747,0.6190037569142104,-4.595118687905929
E5RJU9,-174.39765403574597,-906.0133331542709,-2.3010479076823454,0.03896128272928753,0.6190037569142104,-4.595118696954158
Q99543,-661.371327796154,447.3307795711539,-2.2974567709646654,0.039220139954279004,0.6190037569142104,-4.595118700335293
F8VVY9,-734.2104840849995,1578.5141885575001,-2.29689588647924,0.03926071704249641,0.6190037569142104,-4.595118700863462
H3BLZ3,-193.17196730661544,-624.3137124848461,-2.286513568702691,0.040019063834258406,0.6190037569142104,-4.595118710644113
Q6ZVN7,-252.21535337192302,-438.1281160282692,-2.2817983471462586,0.04036804732002152,0.6190037569142104,-4.595118715088508
F8WC57,-753.732031533462,364.31059545634616,-2.277107328529072,0.04071810374485546,0.6190037569142104,-4.59511871951155
Q8N2N9,-3180.049331461536,8803.153583146153,-2.2475966464261012,0.04298712938915396,0.6190037569142104,-4.5951187473681605
Q96P50,-1130.4832614592317,1435.4808274434615,-2.2409208368515143,0.043516765306969955,0.6190037569142104,-4.595118753676937
B5MCC4,-19970.513617384622,18796.023394376924,-2.226490960685339,0.04468273038372281,0.6190037569142104,-4.595118767321775
E7EW31,-3388.8389056538476,3237.7950319730767,-2.226436918315526,0.04468715206884091,0.6190037569142104,-4.5951187673729
Q15527,-356.1229044855006,431.92491112763463,-2.221276867960772,0.04511124914258798,0.6190037569142104,-4.59511877225487
Q96SC8,-410.0475810965385,20.245241967115433,-2.2166519766937935,0.045494587050886943,0.6190037569142104,-4.595118776631651
F5GWJ5,1616.140268230771,3524.9166212615382,2.205660519128905,0.04641798444781559,0.6190037569142104,-4.59511878703755
Q8HWS3,-358.96765897115387,-259.17029593019225,-2.2053469876534044,0.046444581703140815,0.6190037569142104,-4.59511878733446
Q86XL3,-235.70035216461542,-78.76330903230767,-2.2002749402458495,0.04687684930429786,0.6190037569142104,-4.595118792138238
