Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
E7EW00,0.10383333204762922,0.05508094747133582,0.0,0.11217072256932373,90.2,False
Q9NVR2,-0.08208200641628326,-0.041146587784849684,-0.1075819417799408,0.0,76.6,False
Q9Y4D1,-0.07830120288731185,-0.04330317607218932,-0.0858336973092898,0.0,96.8,False
G9CGD6,-0.07213279154286376,-0.03419066725976682,-0.09326636123056388,0.0,67.2,False
Q9NVI1,0.0699792203270684,0.03056793267646065,0.0,0.0991609403562648,74.8,False
Q8TCC6,-0.06915029083825194,-0.02998081234625106,-0.09204572029417071,0.0,74.6,False
E7EWD5,-0.06810882014640665,-0.03265031926915832,-0.09460454010466512,0.0,72.2,False
O00712,-0.06773167030025205,-0.026428799902818472,-0.10318161078478502,0.0,59.0,False
A0A804HJY3,-0.0662017153007324,-0.02700748543682605,-0.088486726235535,0.0,63.800000000000004,False
A0A8I5KX78,-0.0658840548124946,-0.02838720975150868,-0.10651202742315632,0.0,59.199999999999996,False
O95295,0.0630190788882414,0.032068657740936216,0.0,0.07795147122567755,83.2,False
Q5JWV3,-0.06190892618101675,-0.02774382704580449,-0.09038206843498257,0.0,67.60000000000001,False
P98169,0.05980672675253737,0.025496622479010463,0.0,0.08666608467141368,65.2,False
O15211,0.05721035399960509,0.023066035352052025,0.0,0.08843526645287182,67.4,False
A0A1B0GVI3,-0.056094348688099316,-0.024553395739393184,-0.1000944990492669,0.0,58.199999999999996,False
A1IGU5,-0.0559544587486875,-0.02794548072756196,-0.0866603808278898,0.0,72.39999999999999,False
A0A8I5KQ45,0.05557486722021131,0.02305689271979664,0.0,0.08820545799114972,51.4,False
Q96F81,0.05523466531343503,0.025670467402258847,0.0,0.08101623958941091,71.0,False
M0R009,-0.05515538772964525,-0.027473483556940962,-0.08649084426854896,0.0,67.0,False
Q3LI64,-0.054249847857690096,-0.022188767635479292,-0.0797378547259949,0.0,64.8,False
A0A087WX15,0.052286017616108196,0.02405056919905135,0.0,0.08484777696747307,69.0,False
D6RF20,-0.05228111929897544,-0.02718327646714495,-0.07935842142042016,0.0,72.2,False
A0A7P0T9J6,0.051184977135564004,0.02559510649500344,0.0,0.07750618732009375,69.0,False
Q96AE7,0.050984020896741956,0.023680290539127933,0.0,0.07993434285138247,65.4,False
A0A2R8Y812,0.050884055186327375,0.0237798330303559,0.0,0.07550312213086725,61.6,False
K7ER74,-0.048816352838509776,-0.023864062217578655,-0.07637337173131602,0.0,67.4,False
Q6PL18,-0.04850861938181229,-0.020873932164723583,-0.07253073359078023,0.0,56.2,False
F8W6X9,-0.04813910887216788,-0.02444809152281211,-0.09812387591442406,0.0,53.800000000000004,False
P35609,-0.04808260032549918,-0.025861657065809975,-0.06536859762464017,0.0,84.8,False
P13056,0.04572015284279891,0.02187740278990694,0.0,0.07938837328159135,53.0,False
A0A2U3TZM7,0.045210620496078595,0.0214576206531815,0.0,0.07242619903002596,69.8,False
Q8NDW4,-0.0424145670443852,-0.021058543499579037,-0.06110998776643396,0.0,80.4,False
Q14195,-0.04229280890829585,-0.01727284051259252,-0.0656926582944746,0.0,62.0,False
P18206,0.042148547914594464,0.023169616813678982,0.0,0.06403715250171102,78.60000000000001,False
Q13367,-0.042124084405254704,-0.02065015926962302,-0.07766143313309457,0.0,54.0,False
K7EJD1,0.04168853613520753,0.016064282709813034,0.0,0.06321864746377909,57.8,False
A0A2R8YD19,-0.04146244201518337,-0.019597977428729058,-0.053084414205612274,0.0,72.0,False
Q8IYE0,0.04104836457335703,0.01793438833879378,0.0,0.07863243742569316,50.6,False
G3V3F7,0.03878626637945753,0.020324950487631225,0.0,0.07427986844245615,53.0,False
P08294,0.03777290796038293,0.01509878819715535,0.0,0.0836345544911042,44.4,False
P54284,-0.03773788598960791,-0.015049888760320073,-0.06700047520195682,0.0,51.2,False
P17948,-0.03741032493536655,-0.017936939470222475,-0.07881691832512044,0.0,49.8,False
Q9HCJ5,-0.03731434050579862,-0.016698840874790916,-0.08264466560076522,0.0,45.6,False
A0A0B4J1Y2,0.036630174643006316,0.016587534447363897,0.0,0.06664976297526227,54.2,False
F2Z2A4,-0.03653221181175803,-0.022507688525890926,-0.09758594805366134,0.0,54.2,False
J3KPQ0,0.03645020446546269,0.02198908311191992,0.0,0.06879727030098642,73.0,False
Q8TB72,0.0362324725677318,0.019368085034273737,0.0,0.06235142655221452,73.0,False
F8VQF4,0.03622921155102377,0.017991668052756645,0.0,0.0677436068584662,59.599999999999994,False
A0A0G2JPK4,0.0357068285611104,0.017748546039054732,0.0,0.0547651315201043,60.4,False
M0R165,0.03562314363071379,0.013279040639809364,0.0,0.06853819405736565,50.0,False
G3V200,0.03497513898996223,0.01882582328817503,0.0,0.07573198217110537,54.0,False
A0A7P0T8U3,-0.034548194170941564,-0.01783325758113996,-0.05726716531355185,0.0,71.39999999999999,False
H0YGK4,0.033777525679794175,0.019292463846098597,0.0,0.06910780610006631,64.4,False
Q6ICB4,0.033708269635606414,0.020257223567451674,0.0,0.07895405580545567,56.99999999999999,False
Q9C091,0.033332757369888326,0.01441358636430614,0.0,0.07117147943724353,45.6,False
Q3V6T2,0.033080554379889146,0.01635555773986457,0.0,0.06233440024329931,57.4,False
P78524,0.03295055052958778,0.01919726200789809,0.0,0.07058673614196664,63.6,False
Q5T7B8,-0.03290034749843232,-0.017191450773715453,-0.06376416674884389,0.0,59.8,False
A0A804HJH3,0.03284769913866538,0.014691849774519528,0.0,0.06640106432796626,51.0,False
F8W031,-0.03247304652040138,-0.014249044225636191,-0.06311608067234226,0.0,50.6,False
Q6XZF7,-0.03217512772887951,-0.015325547394475217,-0.053966737038999596,0.0,61.0,False
P04211,-0.03200695874722813,-0.017968200062361567,-0.06580942196228798,0.0,60.199999999999996,False
F8W9L4,-0.03183812015251536,-0.017343526964404457,-0.06462416548160492,0.0,54.2,False
I3L2W2,-0.031513432486631854,-0.013333493939289629,-0.07733709108933515,0.0,43.6,False
M0R0R1,0.03095952770449063,0.018082236832863304,0.0,0.05921926945891384,64.60000000000001,False
Q8NE73,-0.030708178469293388,-0.011928686288834237,-0.06763197574184587,0.0,39.6,False
B0QY69,-0.03045915961235475,-0.014235137557038709,-0.064473711020528,0.0,49.8,False
E9PM66,0.030011517592356547,0.01455982810931984,0.0,0.06221169762370453,54.2,False
Q9Y6D6,-0.028621230339251985,-0.011047888124994876,-0.03882270542919542,0.0,62.4,False
Q9HAU5,0.028286181494193482,0.013738618242052416,0.0,0.060960352980587135,53.0,False
A8MV73,0.02823000730738241,0.013146742276328508,0.0,0.05721091497242209,49.0,False
Q8N163,0.028229558004112334,0.012366103968794935,0.0,0.05800577110990019,50.2,False
Q14590,-0.02822928768437207,-0.009499279987280566,-0.06291523911497161,0.0,32.800000000000004,False
C9JAQ1,0.028218979822325223,0.012072463560281594,0.0,0.03928684525223223,64.60000000000001,False
A0A0D9SGH0,0.028210917657658322,0.01085805363878902,0.0,0.05711572650543724,42.8,False
Q53GT1,0.02793829086163016,0.01564609399579898,0.0,0.06388838844715329,56.8,False
Q9Y4E8,0.027278552325221205,0.01684833985762084,0.0,0.07927896828200937,48.4,False
P16144,-0.027100544554975847,-0.011210079233629152,-0.05501801036285826,0.0,45.6,False
K7EL19,-0.027056884860005737,-0.014308903483629077,-0.06535559659403954,0.0,51.2,False
G3V1D0,0.026690430295565854,0.01215453274930714,0.0,0.06508678067986166,44.2,False
Q02880,-0.026251758644804238,-0.012691985801971187,-0.06649573740541449,0.0,43.2,False
M0R1E9,0.02617990531483714,0.016627637534071472,0.0,0.056946710571747224,59.199999999999996,False
P51805,-0.026172457596775216,-0.010649217170706528,-0.04249697439588376,0.0,55.60000000000001,False
E5RJR3,-0.02616821531292838,-0.014401994066756494,-0.04025575758460852,0.0,72.0,False
E9PDT6,0.02577257230987123,0.01599352137577171,0.0,0.06661381516479671,51.2,False
Q12774,0.025296878457828822,0.0118575289136979,0.0,0.05526562383399469,47.8,False
D6RJB7,0.025154452428129092,0.01618423670436517,0.0,0.05470477602678586,63.6,False
I3L0W7,0.025015005173484327,0.013628610359756876,0.0,0.049381806215417774,58.199999999999996,False
Q02487,-0.02468886668586457,-0.009389906677613172,-0.05486828920137386,0.0,38.0,False
F5H6I7,0.024660583976396137,0.010749339906930128,0.0,0.05268177384694749,47.4,False
O43166,-0.02457608640253137,-0.010657799579255568,-0.044367732658253146,0.0,58.8,False
Q9GZV8,0.024556676281349506,0.01108265320262082,0.0,0.06542911288289291,37.4,False
A9Z1Z3,-0.024175584499220467,-0.013975994961201539,-0.06865704046043786,0.0,53.2,False
H0Y4K8,0.0238711106442855,0.012823745554104076,0.0,0.06063683626488892,45.2,False
E7ERK8,-0.02341060839314608,-0.008261452639739045,-0.044516538221134945,0.0,43.4,False
P02748,-0.023286646857135593,-0.013753893464650807,-0.051977172983638825,0.0,61.199999999999996,False
Q86XR8,-0.02251891430348969,-0.010342510265299022,-0.0463576908037192,0.0,44.4,False
A0A494C0U8,-0.02231890300501567,-0.011406871012036775,-0.05104550181907853,0.0,50.8,False
O75037,-0.02156427817625813,-0.010942259352315523,-0.05817664169118503,0.0,42.199999999999996,False
P78406,-0.021209630410395617,-0.008151140358472132,-0.036696854520202715,0.0,50.2,False
S4R322,-0.02118807760425008,-0.0100942024359108,-0.04394411623677123,0.0,52.400000000000006,False
O15056,0.021107060457905967,0.008554002803002116,0.0,0.046295415075998575,43.2,False
Q9P2D3,0.021063576057672045,0.009102315106463487,0.0,0.05637756576170668,37.6,False
F8W128,0.020251210394882018,0.012226240707348969,0.0,0.06295816291899663,43.4,False
Q86SR1,0.020032715094863783,0.006266263840363043,0.0,0.04205696078530924,35.0,False
A0A1D5RMU6,0.019436477845866093,0.011139582661800507,0.0,0.043303161198443074,57.4,False
P23786,-0.019321683273088332,-0.009106476679595486,-0.05163933633730253,0.0,41.8,False
C9JLK0,-0.01905527857515345,-0.009100270974788367,-0.056317016317734336,0.0,34.0,False
J3QL31,-0.01901006127905666,-0.010059496548641602,-0.050043164810291516,0.0,40.6,False
A0A7P0T824,0.018709051338537924,0.01055145471454903,0.0,0.0491923491589721,48.4,False
Q6ZP82,0.018600099882882973,0.008193764365254342,0.0,0.06110294191720163,30.2,False
Q9BRR8,-0.01840923260534706,-0.00830876901705536,-0.04264821209158023,0.0,45.2,False
H7C2N5,-0.01825069090954609,-0.01128414890392101,-0.05032244991856302,0.0,50.2,False
