Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
H7C1M2,0.3735135700712743,0.11020354264543396,0.0,0.5507622507637425,46.2,False
Q8N715,-0.3249232575843678,-0.1234203762056339,-0.6128465569308976,0.0,42.0,False
F5H5B4,-0.28999156903687,-0.08360110328185302,-0.5453266544499125,0.0,32.4,False
A0A0U1RR07,0.1003071489024604,0.024702271899562114,0.0,0.24266478920953388,18.2,False
Q9BXU9,-0.08200468555276696,-0.041372769181666665,-0.39374761744066056,0.0,21.0,False
A0A2U3TZM7,-0.022967996827439142,-0.038927062842025885,-0.373440404432373,0.0,19.8,False
