Protein,Coefficient (Original),Bootstrapped Mean,95% CI Lower,95% CI Upper,Selection Frequency (%),Significant CI
A0A2R8Y4T1,-0.3108603575621605,-0.0805075895834375,-0.47649230993020647,0.0,40.2,False
H0YA52,-0.25028828052244523,-0.06118192713852396,-0.39813604329214336,0.0,35.0,False
O43707,-0.15821742253409135,-0.027714726829998426,-0.22134789777612227,0.0,24.0,False
C9JYU3,-0.15487574283770103,-0.037028912467697496,-0.3813320433821485,0.0,20.599999999999998,False
Q99569,-0.12442437590479767,-0.04863248325908492,-0.37007149692343616,0.0,25.6,False
A0A0U1RQG6,-0.11292500848287779,-0.024041272311203683,-0.24322994177445695,0.0,17.8,False
Q9Y3P9,0.08862689354996997,0.03175439789226758,0.0,0.3067707948130288,19.6,False
C9JNU9,0.08267637158806136,0.03217842081080485,0.0,0.3335796981366497,20.599999999999998,False
K7ERJ7,-0.06154539228514107,-0.019614985433880423,-0.2310473396190635,0.0,14.000000000000002,False
C9JU00,-0.04996661059867878,-0.016824558825841815,-0.1914600290358943,0.0,14.799999999999999,False
Q13033,-0.04329385203420454,-0.023602654105061842,-0.26920880385639334,0.0,19.0,False
A0A7P0T963,0.037062187018735905,0.02718292283944004,0.0,0.26029940096408544,21.8,False
A0A075B6N3,-0.020116646525132786,-0.0327681054683144,-0.3684034588218019,0.0,18.2,False
Q9NVP1,-0.019053462165960898,-0.027193989199108128,-0.28844429649366465,0.0,17.8,False
O60884,0.012593428189117567,0.018024407225020547,0.0,0.24270934531877827,12.8,False
